Key,English,Russian
welcome_header,Welcome!,Добро пожаловать!
welcome_info,Choose your training level based on your regular push up count.,"Выберите свой уровень, исходя из того, сколько отжиманий вы можете сделать."
chooseLevel_header,Choose level,Выбери уровень
trainingProgram_header,Trainings schedule,Программа тренировок
chooseProgram_button,Accept program,Выбрать программу
requirement_1,< 5 push-ups,< 5 отжиманий
requirement_2,6 - 10 push-ups,6 - 10 отжиманий
requirement_3,11 - 15 push-ups,11 - 15 отжиманий
requirement_4,16 - 20 push-ups,16 - 20 отжиманий
requirement_5,21 - 25 push-ups,21 - 25 отжиманий
requirement_6,26 - 30 push-ups,26 - 30 отжиманий
requirement_7,31 - 35 push-ups,31 - 35 отжиманий
requirement_8,36 - 40 push-ups,36 - 40 отжиманий
requirement_9,41 - 45 push-ups,41 - 45 отжиманий
requirement_10,46 - 50 push-ups,46 - 50 отжиманий
requirement_11,51 - 55 push-ups,51 - 55 отжиманий
requirement_12,56 - 60 push-ups,56 - 60 отжиманий
requirement_13,61 - 65 push-ups,61 - 65 отжиманий
requirement_14,66 - 70 push-ups,66 - 70 отжиманий
requirement_15,71 - 75 push-ups,71 - 75 отжиманий
requirement_16,76 - 80 push-ups,76 - 80 отжиманий
requirement_17,81 - 85 push-ups,81 - 85 отжиманий
requirement_18,86 - 90 push-ups,86 - 90 отжиманий
requirement_19,91 - 95 push-ups,91 - 95 отжиманий
requirement_20,96 - 100 push-ups,96 - 100 отжиманий
